pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,0.999,0.8794,0.652,0.4456,0.3245,0.275,0.255,0.1888,0.1666
4001,1.0,0.8574,0.6694,0.505,0.3926,0.2734,0.2634,0.2252,0.2003
4002,1.001,0.8794,0.4504,0.36,0.2988,0.2247,0.2024,0.178,0.1605
4003,1.001,0.8667,0.693,0.5327,0.411,0.3103,0.2417,0.2112,0.1794
4004,1.001,0.866,0.535,0.365,0.2932,0.2358,0.1871,0.1381,0.04572
4005,1.0,0.549,0.3599,0.3284,0.3052,0.1785,0.1665,0.1481,0.1459
4006,1.0,0.8584,0.5913,0.3887,0.3174,0.2788,0.2551,0.2406,0.2173
4007,0.999,0.7686,0.4395,0.3008,0.2443,0.231,0.2058,0.1444,0.1006
4008,1.0,0.8643,0.7036,0.522,0.3997,0.3308,0.2913,0.2515,0.2026
4009,1.0,0.703,0.4785,0.3997,0.3418,0.312,0.2822,0.2252,0.1815
4010,1.0,0.8657,0.5815,0.3513,0.2893,0.235,0.1904,0.1538,0.1195
4011,1.0,0.857,0.624,0.4023,0.316,0.2172,0.1787,0.1373,0.1172
4012,1.0,0.855,0.6353,0.4368,0.2708,0.2251,0.2197,0.2034,0.1749
4013,1.0,0.703,0.464,0.3652,0.255,0.2097,0.1846,0.1431,0.0439
4014,1.0,0.8823,0.711,0.5757,0.481,0.3362,0.2524,0.1974,0.169
4015,1.0,0.877,0.6855,0.5117,0.398,0.3237,0.2751,0.236,0.1902
4016,1.0,0.8394,0.646,0.5117,0.4424,0.3972,0.3352,0.2493,0.2018
4017,1.0,0.816,0.5166,0.3782,0.3032,0.2573,0.2188,0.1993,0.1497
4018,0.999,0.8193,0.5957,0.3962,0.254,0.2059,0.1521,0.07666,0.04205
4019,1.001,0.8433,0.609,0.4272,0.3125,0.2715,0.2347,0.1848,0.168
4020,1.0,0.7666,0.5815,0.3423,0.1831,0.1189,0.10364,0.0816,0.058
4021,0.9995,0.813,0.565,0.3943,0.2952,0.2551,0.22,0.1609,0.0847
4022,0.999,0.8438,0.6055,0.4717,0.339,0.294,0.2499,0.2018,0.1719
4023,1.001,0.8438,0.5903,0.4238,0.2937,0.278,0.253,0.2184,0.1863
4024,1.0,0.781,0.4702,0.3894,0.2883,0.2803,0.256,0.2214,0.1807
4025,0.9995,0.7036,0.4958,0.4038,0.3335,0.2466,0.1818,0.1382,0.0889
4026,1.001,0.807,0.6406,0.5195,0.4421,0.3623,0.2883,0.245,0.1736
4027,1.0,0.8525,0.5713,0.409,0.3452,0.3066,0.2734,0.2441,0.2021
4028,1.0,0.7827,0.4985,0.376,0.3132,0.297,0.2703,0.2424,0.1968
4029,1.0,0.873,0.6104,0.4016,0.2961,0.2566,0.1957,0.08417,0.05728
4030,1.0,0.874,0.6685,0.5083,0.4102,0.3208,0.2402,0.1787,0.12006
4031,1.0,0.8574,0.65,0.4487,0.32,0.256,0.1687,0.114,0.079
4032,1.0,0.8647,0.676,0.5327,0.4202,0.3613,0.3147,0.2673,0.2311
4033,1.0,0.865,0.598,0.3984,0.3037,0.2612,0.2328,0.1497,0.12085
4034,1.0,0.85,0.625,0.3025,0.2344,0.1316,0.1166,0.10925,0.1006
4035,1.0,0.733,0.542,0.3542,0.2908,0.2479,0.2117,0.1796,0.1619
4036,1.0,0.8384,0.642,0.5293,0.4316,0.3464,0.2854,0.2456,0.2175
4037,1.0,0.8374,0.4888,0.2976,0.2192,0.1531,0.1238,0.12476,0.0939
4038,1.0,0.8623,0.5977,0.414,0.3196,0.26,0.1964,0.1641,0.1521
4039,1.001,0.8223,0.5664,0.4526,0.298,0.267,0.2456,0.2155,0.1285
4040,0.9995,0.863,0.599,0.4534,0.4148,0.336,0.2137,0.1293,0.1266
4041,1.0,0.881,0.669,0.4932,0.4026,0.3508,0.2864,0.1859,0.128
4042,0.9995,0.8604,0.548,0.3313,0.2656,0.2355,0.2012,0.1628,0.05762
4043,1.0,0.8516,0.6665,0.429,0.3506,0.3062,0.2163,0.1558,0.1377
4044,1.001,0.8354,0.5977,0.474,0.3425,0.2422,0.2137,0.1704,0.1173
4045,1.001,0.698,0.4556,0.4097,0.3564,0.332,0.3142,0.2993,0.1575
4046,0.999,0.7383,0.5195,0.3784,0.3008,0.259,0.1931,0.1276,0.10583
4047,1.001,0.707,0.4944,0.4104,0.358,0.3284,0.3005,0.2622,0.2279
