pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,0.9995,0.8364,0.5005,0.329,0.213,0.1439,0.11707,0.1012,0.0449
4001,1.001,0.868,0.643,0.4956,0.281,0.1779,0.1365,0.09515,0.089
4002,0.9995,0.8047,0.5312,0.345,0.3013,0.2705,0.2583,0.2417,0.1622
4003,0.999,0.862,0.685,0.4421,0.3684,0.2886,0.1945,0.1078,0.0875
4004,1.0,0.8203,0.3848,0.2595,0.1976,0.1571,0.144,0.10254,0.0732
4005,1.0,0.8306,0.6616,0.3584,0.2389,0.2039,0.1945,0.1282,0.1349
4006,1.001,0.836,0.584,0.4136,0.3193,0.2351,0.1688,0.12445,0.1034
4007,1.0,0.8345,0.5283,0.2812,0.1464,0.0957,0.0777,0.05988,0.06305
4008,1.0,0.757,0.4497,0.3743,0.3027,0.2712,0.264,0.2404,0.2186
4009,1.001,0.871,0.6353,0.3823,0.2458,0.1785,0.1254,0.1096,0.10333
4010,1.001,0.8545,0.5303,0.2499,0.1611,0.0803,0.0428,0.0202,0.02359
4011,1.0,0.8677,0.618,0.4187,0.327,0.2568,0.1941,0.1317,0.0805
4012,1.001,0.852,0.6514,0.4155,0.252,0.1554,0.11847,0.0903,0.0681
4013,0.9995,0.4934,0.3518,0.2612,0.2128,0.1791,0.1761,0.171,0.1576
4014,1.001,0.8755,0.7407,0.595,0.4646,0.3147,0.255,0.1748,0.11896
4015,1.0,0.871,0.6826,0.4827,0.3064,0.2083,0.1287,0.0864,0.0517
4016,0.9995,0.869,0.659,0.3428,0.2367,0.205,0.183,0.1621,0.1338
4017,1.001,0.8335,0.4949,0.278,0.2002,0.1677,0.1381,0.1067,0.03314
4018,0.9995,0.896,0.3625,0.2032,0.1248,0.07794,0.065,0.05734,0.0097
4019,1.001,0.85,0.5693,0.353,0.239,0.1637,0.1029,0.07605,0.0894
4020,1.0,0.83,0.644,0.434,0.1786,0.12494,0.0229,0.008675,-0.01048
4021,0.9995,0.856,0.685,0.2576,0.1919,0.183,0.1791,0.149,0.11865
4022,1.001,0.7485,0.4102,0.2502,0.1974,0.1747,0.1559,0.133,0.11346
4023,1.0,0.822,0.57,0.3682,0.2058,0.1126,0.08545,0.07086,0.06216
4024,1.0,0.845,0.6113,0.4436,0.2756,0.2118,0.1768,0.1381,0.0877
4025,1.0,0.585,0.3984,0.351,0.3118,0.2421,0.1936,0.1686,0.0739
4026,1.0,0.8457,0.239,0.1887,0.1597,0.1292,0.1057,0.10266,0.0895
4027,1.001,0.779,0.5444,0.4287,0.3335,0.2593,0.171,0.1229,0.05792
4028,1.0,0.687,0.508,0.4521,0.42,0.4023,0.3838,0.3574,0.3298
4029,1.0,0.75,0.5327,0.3896,0.296,0.2281,0.2106,0.1198,0.05807
4030,1.001,0.851,0.6084,0.3762,0.2423,0.1897,0.1552,0.10657,0.08496
4031,0.9995,0.8564,0.6445,0.4482,0.3318,0.2485,0.17,0.1057,0.081
4032,0.999,0.824,0.547,0.3716,0.2961,0.2542,0.2164,0.174,0.1377
4033,0.9995,0.8447,0.609,0.4346,0.2664,0.1948,0.12274,0.0909,0.043
4034,0.9995,0.801,0.391,0.334,0.2778,0.1875,0.175,0.1708,0.1483
4035,0.999,0.8696,0.696,0.5596,0.4343,0.2329,0.1737,0.1197,0.1058
4036,1.0,0.6997,0.51,0.3848,0.3264,0.274,0.2162,0.1219,0.086
4037,1.001,0.8438,0.588,0.453,0.2974,0.1189,0.02031,0.002317,-0.002338
4038,1.0,0.861,0.6353,0.4092,0.1993,0.1443,0.1257,0.1064,0.1112
4039,1.0,0.8438,0.4922,0.3738,0.3,0.1927,0.1906,0.1837,0.1687
4040,0.999,0.748,0.5522,0.3848,0.326,0.2808,0.2551,0.1973,0.09607
4041,1.001,0.888,0.74,0.5913,0.4236,0.338,0.2842,0.2158,0.06555
4042,1.0,0.8228,0.5557,0.3135,0.2178,0.1788,0.1476,0.1141,0.06836
4043,1.0,0.88,0.6484,0.419,0.268,0.1884,0.1316,0.0773,0.0735
4044,1.0,0.814,0.4988,0.3318,0.186,0.13,0.11743,0.111,0.0936
4045,1.001,0.88,0.4607,0.247,0.1232,0.1354,0.1207,0.11664,0.10126
4046,1.0,0.777,0.4246,0.2734,0.1948,0.1678,0.1443,0.10565,0.1063
4047,1.0,0.882,0.7188,0.4429,0.3892,0.343,0.3052,0.258,0.2035
4048,1.0,0.891,0.752,0.635,0.4885,0.287,0.2452,0.187,0.1697
4049,1.001,0.847,0.643,0.445,0.208,0.143,0.1194,0.1018,0.0925
4050,1.0,0.857,0.6206,0.385,0.1952,0.0675,0.013885,0.002295,-0.00784
4051,0.9995,0.672,0.5703,0.4011,0.2935,0.2211,0.1947,0.1628,0.1465
4052,1.0,0.877,0.3782,0.2756,0.271,0.2676,0.256,0.189,0.0638
4053,1.0,0.711,0.423,0.3455,0.3066,0.2476,0.1954,0.1516,0.0914
4054,0.999,0.7886,0.552,0.2668,0.169,0.1287,0.10266,0.091,0.0891
4055,1.0,0.6396,0.4285,0.3267,0.2886,0.2654,0.2178,0.1719,0.1243
4056,0.999,0.8643,0.627,0.4124,0.2053,0.1421,0.09863,0.05222,0.02467
4057,1.0,0.5874,0.4314,0.3174,0.1686,0.11237,0.10144,0.09283,0.08246
4058,1.0,0.8374,0.6084,0.3984,0.2642,0.1461,0.108,0.0987,0.0827
4059,1.0,0.8037,0.52,0.2666,0.1588,0.1092,0.0819,0.0788,0.04047
4060,1.001,0.855,0.633,0.4834,0.345,0.265,0.1456,0.07837,0.02974
4061,1.0,0.544,0.3767,0.312,0.238,0.2015,0.1722,0.1368,0.0941
4062,1.001,0.8335,0.611,0.4106,0.2014,0.1016,0.06024,0.03397,0.01956
4063,1.001,0.753,0.5107,0.4412,0.3992,0.3428,0.3137,0.232,0.05267
4064,1.0,0.811,0.3452,0.3025,0.2874,0.2686,0.1906,0.1252,0.0695
4065,1.0,0.8784,0.6753,0.477,0.3,0.2073,0.1202,0.08344,0.0917
4066,0.9995,0.871,0.692,0.2395,0.11725,0.09955,0.0869,0.0867,0.08704
4067,1.0,0.8594,0.6567,0.507,0.374,0.2634,0.2294,0.10156,0.0801
4068,1.0,0.847,0.525,0.3066,0.2303,0.162,0.1409,0.1109,0.093
4069,1.0,0.8516,0.6304,0.4324,0.2418,0.1669,0.12305,0.0827,0.05597
4070,1.0,0.865,0.607,0.3843,0.2401,0.12384,0.08936,0.0731,0.0482
4071,1.0,0.8916,0.7246,0.3628,0.3186,0.2908,0.1696,0.1004,0.09076
4072,1.0,0.882,0.602,0.36,0.211,0.1462,0.09644,0.08624,0.085
4073,1.001,0.9062,0.788,0.674,0.2688,0.2303,0.1987,0.1393,0.10876
4074,1.0,0.8604,0.586,0.4128,0.2362,0.1354,0.11804,0.0723,0.05505
4075,1.001,0.845,0.6084,0.3745,0.2515,0.1555,0.0749,0.05905,0.05054
4076,1.0,0.8647,0.65,0.3618,0.229,0.1824,0.0889,0.09534,0.08673
4077,1.001,0.7944,0.5654,0.4092,0.3171,0.227,0.1792,0.1327,0.1132
4078,1.001,0.884,0.7056,0.4766,0.2133,0.11237,0.0814,0.05783,0.03616
4079,1.0,0.787,0.518,0.427,0.3599,0.3052,0.2517,0.172,0.1198
4080,0.9995,0.8364,0.623,0.4026,0.2452,0.098,0.05878,0.05023,0.0402
4081,1.0,0.8413,0.6133,0.3555,0.2056,0.1512,0.1343,0.04663,0.002192
4082,0.999,0.8784,0.661,0.4753,0.323,0.2408,0.118,0.0779,0.0426
4083,0.999,0.8677,0.6064,0.3735,0.2656,0.2073,0.1647,0.1283,0.0984
4084,0.9995,0.878,0.4534,0.2659,0.2166,0.1506,0.1423,0.1193,0.09644
4085,0.999,0.8716,0.674,0.3108,0.2703,0.2416,0.1528,0.1422,0.1256
4086,1.001,0.805,0.6035,0.44,0.3674,0.2452,0.2128,0.1777,0.1517
4087,0.9995,0.853,0.624,0.4473,0.227,0.087,0.04803,0.02843,-0.02371
4088,1.0,0.853,0.59,0.3767,0.219,0.1132,0.0946,0.0729,0.05167
4089,1.0,0.8438,0.6147,0.3694,0.1489,0.0806,0.04562,0.03152,0.02667
4090,1.001,0.8584,0.6387,0.4678,0.3008,0.1858,0.1537,0.12494,0.05853
4091,1.001,0.704,0.568,0.4697,0.4001,0.3518,0.2878,0.2214,0.1489
4092,0.9995,0.8843,0.7534,0.637,0.5234,0.449,0.371,0.2913,0.1958
4093,0.9995,0.881,0.6313,0.388,0.2908,0.2295,0.1562,0.1007,0.0721
4094,1.0,0.8774,0.6733,0.4646,0.235,0.1553,0.10913,0.05988,0.01068
4095,1.001,0.8525,0.6113,0.4612,0.3308,0.2223,0.1079,0.04935,0.05194
4096,1.0,0.8647,0.6,0.3628,0.237,0.15,0.1019,0.08545,0.0673
4097,0.9995,0.775,0.646,0.2268,0.2012,0.1764,0.1635,0.1412,0.1248
4098,1.0,0.6475,0.5503,0.4536,0.383,0.3306,0.291,0.13,0.07855
4099,0.999,0.852,0.5874,0.2795,0.1503,0.04105,0.01625,0.03123,0.03732
4100,1.0,0.855,0.678,0.548,0.4414,0.3123,0.2075,0.1366,0.09906
4101,1.001,0.8496,0.607,0.3616,0.269,0.2311,0.1626,0.1233,0.0966
4102,1.0,0.8477,0.6045,0.4365,0.296,0.1716,0.122,0.0943,0.08093
4103,1.0,0.8574,0.6685,0.3386,0.1667,0.1302,0.11304,0.11127,0.08685
4104,1.0,0.877,0.64,0.3936,0.267,0.2198,0.1809,0.1547,0.1256
4105,1.001,0.757,0.4915,0.3022,0.1791,0.0948,0.0608,0.05588,0.04312
4106,1.001,0.8525,0.6616,0.3914,0.2177,0.1486,0.1069,0.07837,0.07166
4107,1.001,0.8384,0.4744,0.413,0.3752,0.36,0.3374,0.2744,0.2451
4108,1.0,0.7017,0.534,0.4148,0.2986,0.2129,0.1755,0.1744,0.1664
4109,1.001,0.8633,0.6587,0.4597,0.3074,0.227,0.1605,0.1261,0.08856
4110,1.0,0.849,0.617,0.2235,0.1512,0.1262,0.12085,0.09845,0.07794
4111,0.9995,0.7896,0.4683,0.2491,0.1716,0.1276,0.10785,0.0961,0.0637
4112,0.9995,0.8755,0.703,0.558,0.4312,0.2756,0.1392,0.1115,0.0458
4113,0.9995,0.884,0.681,0.5483,0.4702,0.3323,0.2876,0.26,0.1722
4114,1.001,0.8467,0.6094,0.3914,0.2615,0.1368,0.0885,0.06586,0.007866
4115,1.001,0.8745,0.6626,0.4646,0.3313,0.1909,0.1432,0.0627,0.00833
4116,1.001,0.596,0.3208,0.2081,0.1854,0.1792,0.1815,0.1796,0.1053
4117,1.001,0.842,0.706,0.6133,0.5347,0.3271,0.3025,0.2708,0.2341
4118,0.999,0.8643,0.652,0.415,0.2512,0.1252,0.06903,0.0482,0.03543
4119,1.0,0.869,0.5845,0.3672,0.2756,0.2477,0.1871,0.1768,0.1676
4120,1.001,0.835,0.608,0.393,0.1963,0.1296,0.10297,0.08167,0.0667
4121,1.0,0.818,0.5273,0.3894,0.287,0.188,0.1375,0.08887,0.06174
4122,1.0,0.7666,0.425,0.1759,0.1256,0.0876,0.0633,0.05777,0.0429
4123,0.999,0.839,0.4814,0.3125,0.2637,0.2357,0.2,0.1656,0.1018
4124,1.0,0.8315,0.6436,0.2925,0.1328,0.08936,0.06128,0.0701,0.05664
4125,1.001,0.8677,0.6387,0.465,0.2874,0.1941,0.1324,0.0742,0.0462
4126,0.9995,0.746,0.4695,0.313,0.152,0.1476,0.1431,0.1263,0.0891
4127,0.999,0.856,0.5166,0.2433,0.12476,0.0752,0.04034,0.02478,0.02893
4128,0.9995,0.8667,0.658,0.4534,0.2744,0.149,0.0986,0.0894,0.08093
4129,0.9995,0.8833,0.706,0.538,0.3389,0.1746,0.1517,0.1431,0.1256
4130,1.0,0.83,0.4995,0.2314,0.1799,0.1279,0.1094,0.10736,0.08905
4131,1.001,0.879,0.6963,0.468,0.2878,0.1913,0.1527,0.1114,0.067
4132,0.9995,0.6855,0.5137,0.318,0.2952,0.2366,0.2198,0.213,0.214
4133,1.001,0.87,0.432,0.2888,0.2495,0.2327,0.217,0.2051,0.1895
4134,1.0,0.8228,0.6094,0.2021,0.2534,0.1803,0.1714,0.1515,0.11255
4135,0.999,0.8345,0.668,0.5024,0.366,0.2485,0.1907,0.165,0.1614
4136,0.999,0.8413,0.4575,0.3772,0.262,0.09766,0.05457,0.0462,0.0481
4137,0.9995,0.841,0.604,0.411,0.2053,0.13,0.1062,0.0783,0.0619
4138,1.0,0.857,0.511,0.2651,0.0926,0.0665,0.0414,0.0548,-0.008415
4139,1.0,0.8564,0.6064,0.4229,0.2988,0.2028,0.1582,0.0989,0.0681
4140,1.0,0.8794,0.6836,0.535,0.4412,0.3638,0.2333,0.1548,0.1526
4141,0.9995,0.761,0.5884,0.4817,0.3848,0.2328,0.1794,0.146,0.0554
4142,1.001,0.842,0.591,0.4104,0.306,0.2448,0.183,0.1305,0.05276
4143,0.999,0.8057,0.5435,0.4204,0.347,0.2988,0.2465,0.1974,0.1727
4144,1.001,0.858,0.5513,0.3228,0.257,0.187,0.1495,0.11676,0.05957
4145,1.0,0.7803,0.418,0.265,0.1619,0.11224,0.07965,0.04968,0.0431
4146,1.0,0.793,0.4482,0.307,0.2076,0.09924,0.0491,0.0242,0.006798
4147,1.0,0.8813,0.7256,0.357,0.2302,0.11395,0.1074,0.0841,0.0669
4148,0.999,0.892,0.746,0.5967,0.302,0.2544,0.199,0.1897,0.1549
