pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.884,0.666,0.495,0.337,0.2283,0.1842,0.1247,0.04688
4001,1.0,0.876,0.645,0.47,0.3123,0.2449,0.1832,0.12354,0.08356
4002,1.001,0.887,0.774,0.6606,0.5186,0.368,0.3435,0.3198,0.259
4003,1.001,0.855,0.629,0.458,0.3457,0.2798,0.1956,0.1898,0.11444
4004,0.999,0.879,0.701,0.5596,0.4011,0.3137,0.2715,0.2261,0.12463
4005,1.0,0.883,0.6904,0.4026,0.2996,0.2576,0.1979,0.1455,0.02937
4006,0.9995,0.8564,0.6284,0.459,0.3538,0.2373,0.198,0.1425,0.1088
4007,1.0,0.846,0.6504,0.494,0.2888,0.1223,0.0812,0.03906,0.05753
4008,0.9995,0.8955,0.759,0.609,0.508,0.4385,0.3716,0.2852,0.1522
4009,1.0,0.8394,0.6895,0.58,0.4956,0.4187,0.352,0.2742,0.08765
4010,1.0,0.868,0.5967,0.3484,0.1519,0.125,0.0815,0.05417,0.02322
4011,0.9995,0.8555,0.6475,0.4958,0.3657,0.2408,0.1812,0.0958,0.05014
4012,1.001,0.8613,0.639,0.4749,0.3118,0.2308,0.1702,0.1306,0.11456
4013,1.0,0.89,0.739,0.642,0.5483,0.4597,0.383,0.2751,0.2362
4014,0.9995,0.909,0.783,0.6543,0.5522,0.4724,0.3672,0.26,0.1763
4015,1.0,0.861,0.642,0.4824,0.3474,0.2576,0.1584,0.1231,0.0814
4016,1.0,0.9106,0.7866,0.677,0.5977,0.525,0.436,0.2742,0.1938
4017,0.9995,0.8584,0.571,0.404,0.3079,0.2369,0.1735,0.1058,0.0359
4018,1.0,0.8887,0.6904,0.6035,0.5547,0.4846,0.1309,0.0664,0.06174
4019,1.0,0.8687,0.6553,0.4558,0.3093,0.2427,0.1855,0.1401,0.0989
4020,0.9995,0.792,0.6543,0.416,0.2603,0.1667,0.1204,0.0724,0.0691
4021,1.0,0.838,0.6567,0.4978,0.3958,0.3118,0.2404,0.1882,0.0981
4022,1.0,0.8984,0.623,0.5024,0.4417,0.3755,0.2969,0.2433,0.1823
4023,1.0,0.8643,0.6675,0.439,0.2983,0.1781,0.144,0.1345,0.0747
4024,1.0,0.8403,0.57,0.4612,0.3982,0.3162,0.2294,0.158,0.0947
4025,0.9995,0.755,0.458,0.3708,0.3008,0.249,0.1865,0.1581,0.1339
4026,0.9995,0.874,0.7095,0.565,0.4355,0.3535,0.304,0.2324,0.1848
4027,0.9995,0.881,0.6104,0.479,0.416,0.3743,0.331,0.2932,0.1925
4028,1.001,0.8564,0.689,0.5747,0.4995,0.4258,0.379,0.338,0.271
4029,1.0,0.906,0.741,0.5933,0.4893,0.4,0.281,0.08624,0.0522
