pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.872,0.6484,0.4753,0.3247,0.1946,0.1647,0.1137,0.0447
4001,1.001,0.834,0.64,0.4973,0.3425,0.2296,0.157,0.09106,0.07367
4002,1.0,0.7173,0.584,0.4275,0.2074,0.06024,0.08234,0.06824,0.05396
4003,1.0,0.693,0.57,0.4646,0.1726,0.11383,0.0805,0.05008,0.06793
4004,0.9995,0.735,0.491,0.3542,0.251,0.1895,0.147,0.1003,0.05063
4005,1.001,0.8525,0.558,0.3718,0.279,0.2502,0.2407,0.1553,0.0741
4006,1.001,0.867,0.668,0.4805,0.3486,0.2856,0.2355,0.1884,0.1393
4007,1.0,0.8306,0.5576,0.258,0.1882,0.10736,0.0791,0.0697,0.03506
4008,0.999,0.908,0.783,0.656,0.481,0.3867,0.3176,0.2113,0.1572
4009,0.999,0.861,0.6787,0.5293,0.3845,0.2349,0.158,0.14,0.1255
4010,0.9995,0.8574,0.617,0.366,0.2747,0.1814,0.1395,0.0739,0.07104
4011,1.0,0.863,0.654,0.473,0.3572,0.2556,0.1831,0.1328,0.09216
4012,1.0,0.863,0.613,0.3765,0.2744,0.1973,0.1628,0.1173,0.10345
4013,1.001,0.89,0.718,0.5474,0.4268,0.312,0.2379,0.1957,0.185
4014,1.0,0.8813,0.755,0.6104,0.4941,0.3433,0.2761,0.1676,0.1324
4015,1.001,0.8896,0.6772,0.4849,0.3374,0.2395,0.1757,0.1404,0.103
4016,0.9995,0.8984,0.7715,0.6396,0.4922,0.3594,0.26,0.2266,0.2124
4017,1.0,0.828,0.578,0.353,0.2734,0.186,0.1409,0.1018,0.06793
4018,1.001,0.8804,0.6855,0.532,0.3186,0.1192,0.0984,0.0537,0.0505
4019,1.0,0.86,0.637,0.4526,0.3286,0.2292,0.1696,0.1276,0.07477
4020,0.999,0.8574,0.6245,0.3499,0.2146,0.1313,0.1212,0.07947,0.04837
4021,1.0,0.878,0.678,0.509,0.3625,0.2244,0.1884,0.1592,0.1395
4022,1.0,0.885,0.551,0.419,0.3013,0.1201,0.1028,0.08014,0.07654
4023,1.001,0.8296,0.5522,0.3438,0.2595,0.1874,0.1315,0.0868,0.0555
4024,1.001,0.878,0.647,0.4873,0.2988,0.2341,0.1552,0.1211,0.07654
4025,0.9995,0.858,0.5464,0.4507,0.2494,0.1986,0.1511,0.12036,0.06506
4026,1.001,0.846,0.663,0.4265,0.321,0.1808,0.1267,0.104,0.11383
4027,1.0,0.8726,0.675,0.5454,0.3218,0.2178,0.1716,0.1499,0.0929
4028,1.001,0.848,0.6377,0.4382,0.3596,0.3308,0.2808,0.2195,0.1787
4029,1.001,0.8477,0.4482,0.2998,0.265,0.1735,0.127,0.0882,0.01862
4030,0.9995,0.8936,0.7334,0.5703,0.4248,0.3076,0.0969,0.0363,0.0648
4031,1.001,0.826,0.6255,0.4468,0.319,0.2493,0.1832,0.1307,0.0929
4032,1.001,0.8735,0.6616,0.535,0.438,0.3237,0.188,0.1265,0.115
4033,1.001,0.87,0.654,0.4514,0.328,0.2588,0.1411,0.0949,0.05502
4034,1.0,0.828,0.672,0.512,0.3618,0.274,0.1763,0.1389,0.129
4035,1.0,0.739,0.5903,0.4548,0.3167,0.1956,0.1643,0.1411,0.0826
4036,1.0,0.586,0.4758,0.4055,0.2832,0.1973,0.1476,0.0894,0.0789
4037,1.0,0.8296,0.559,0.3718,0.2512,0.1354,0.11835,0.11316,0.0706
4038,1.0,0.878,0.64,0.4226,0.3066,0.1819,0.1159,0.0897,0.05017
4039,1.001,0.8633,0.678,0.532,0.3562,0.1395,0.11316,0.0672,0.04364
4040,0.999,0.877,0.667,0.4844,0.3613,0.1672,0.1201,0.08276,0.0443
4041,1.001,0.886,0.487,0.2905,0.261,0.1923,0.1523,0.1431,0.1388
4042,0.9995,0.739,0.6187,0.489,0.3542,0.2524,0.0463,0.0242,0.01674
4043,1.001,0.8765,0.682,0.5024,0.3691,0.2722,0.1901,0.1278,0.08386
4044,1.0,0.8887,0.717,0.5293,0.3137,0.1937,0.10046,0.07526,0.04834
4045,1.0,0.8467,0.5776,0.424,0.261,0.211,0.1713,0.10864,0.03598
4046,1.0,0.869,0.6807,0.4678,0.3638,0.3022,0.2222,0.0862,0.0779
4047,1.0,0.876,0.7305,0.6426,0.5664,0.4314,0.2181,0.1387,0.0876
4048,1.0,0.894,0.741,0.6436,0.567,0.3904,0.2396,0.1617,0.1329
4049,1.0,0.877,0.643,0.4236,0.256,0.1942,0.1484,0.1013,0.08527
4050,1.001,0.8853,0.671,0.4954,0.3289,0.194,0.1295,0.09045,0.09045
4051,0.9995,0.8003,0.646,0.5356,0.3857,0.278,0.1973,0.1296,0.09686
4052,1.0,0.8755,0.6597,0.5024,0.4106,0.3164,0.193,0.0969,0.06964
4053,1.001,0.596,0.41,0.2954,0.2277,0.1625,0.1243,0.09863,0.08307
4054,0.999,0.8496,0.569,0.3298,0.1637,0.11975,0.1124,0.08344,0.05963
4055,0.9995,0.8867,0.7007,0.6113,0.482,0.354,0.152,0.12256,0.0993
4056,0.9995,0.841,0.507,0.3547,0.2327,0.1906,0.142,0.09625,0.06445
4057,1.0,0.85,0.5635,0.3818,0.1992,0.2013,0.1382,0.08954,0.0674
4058,0.9995,0.8696,0.6343,0.4739,0.3882,0.3147,0.266,0.1914,0.11383
4059,1.001,0.8633,0.648,0.4478,0.2988,0.2009,0.1302,0.1006,0.0668
4060,0.9995,0.7983,0.441,0.3396,0.2515,0.2168,0.1702,0.1252,0.0982
4061,0.9995,0.7744,0.465,0.4246,0.3599,0.2786,0.1781,0.1099,0.07904
4062,0.9995,0.843,0.589,0.3965,0.2281,0.1744,0.1462,0.10156,0.04486
4063,1.0,0.857,0.6343,0.5015,0.3762,0.2568,0.1603,0.06033,0.01337
4064,1.001,0.8955,0.7285,0.4841,0.3594,0.26,0.182,0.1311,0.0537
4065,1.0,0.872,0.686,0.5063,0.3557,0.2131,0.1365,0.1288,0.09296
4066,1.0,0.8906,0.747,0.587,0.4536,0.329,0.2578,0.173,0.1481
4067,1.001,0.8696,0.6577,0.4922,0.2825,0.1897,0.1549,0.13,0.1423
4068,0.999,0.703,0.502,0.3987,0.27,0.1278,0.078,0.04123,0.04703
4069,0.9995,0.868,0.6494,0.4941,0.3555,0.2188,0.1387,0.1199,0.0674
4070,1.0,0.8735,0.662,0.4692,0.3445,0.284,0.2295,0.1625,0.08746
4071,1.0,0.897,0.753,0.5947,0.3806,0.1135,0.09143,0.0693,0.0598
4072,0.9995,0.8726,0.699,0.565,0.4153,0.247,0.1752,0.10364,0.0501
4073,1.0,0.907,0.5347,0.4753,0.2686,0.1963,0.1707,0.1617,0.12494
4074,1.0,0.8687,0.661,0.2603,0.213,0.1523,0.09753,0.06714,0.05368
4075,1.0,0.8267,0.6147,0.4253,0.346,0.2722,0.2098,0.1621,0.0978
4076,0.999,0.887,0.578,0.5176,0.44,0.1581,0.12354,0.08417,0.0814
4077,1.0,0.8345,0.638,0.455,0.3066,0.2047,0.1569,0.1257,0.07446
4078,0.9995,0.8804,0.688,0.572,0.3984,0.2578,0.2213,0.2195,0.06885
4079,1.0,0.89,0.7114,0.5645,0.4219,0.2345,0.175,0.12085,0.0485
4080,0.999,0.853,0.5854,0.3364,0.2396,0.1407,0.0802,0.0781,0.06155
4081,1.0,0.84,0.5947,0.4097,0.298,0.1521,0.0911,0.07,0.00355
4082,1.001,0.6504,0.515,0.4248,0.318,0.2075,0.1461,0.0438,0.0331
4083,1.001,0.8506,0.602,0.3862,0.2598,0.1842,0.1469,0.05777,0.03513
4084,1.0,0.6274,0.4067,0.265,0.1859,0.1371,0.06506,0.04086,0.02893
4085,0.9995,0.884,0.689,0.526,0.2053,0.146,0.1367,0.09314,0.05392
4086,0.9995,0.895,0.3687,0.3086,0.308,0.2861,0.2139,0.1622,0.1127
4087,1.0,0.8604,0.5537,0.355,0.2135,0.12415,0.08936,0.07574,0.02023
4088,1.001,0.607,0.5264,0.3557,0.2147,0.1401,0.123,0.1117,0.1105
4089,0.9995,0.8325,0.588,0.3435,0.2212,0.1702,0.1312,0.1195,0.06152
4090,1.001,0.828,0.609,0.4226,0.2908,0.2482,0.1722,0.103,0.0632
4091,1.001,0.875,0.651,0.4878,0.3975,0.3423,0.2617,0.1824,0.1265
4092,1.001,0.898,0.7275,0.6016,0.516,0.434,0.3276,0.2708,0.223
4093,0.9995,0.866,0.663,0.4668,0.3284,0.251,0.1782,0.1256,0.04498
4094,1.0,0.866,0.685,0.5166,0.3416,0.2434,0.1498,0.09216,0.0771
4095,1.001,0.851,0.629,0.4775,0.34,0.2491,0.2092,0.1569,0.1283
4096,0.9995,0.887,0.6597,0.4048,0.2467,0.1785,0.1079,0.093,0.08264
4097,1.001,0.8657,0.66,0.4849,0.365,0.2688,0.1711,0.0852,0.042
4098,1.0,0.877,0.6455,0.4414,0.2856,0.1907,0.1105,0.0802,0.0321
4099,0.999,0.8335,0.604,0.3967,0.2573,0.1843,0.1149,0.0597,0.02834
4100,1.0,0.8257,0.4792,0.362,0.2152,0.10016,0.08344,0.066,0.04324
4101,1.0,0.857,0.552,0.3855,0.2722,0.1956,0.1536,0.10645,0.07776
4102,1.001,0.875,0.6846,0.518,0.342,0.2656,0.2231,0.1346,0.11884
4103,1.001,0.823,0.602,0.4658,0.3792,0.2598,0.2336,0.1785,0.1143
4104,0.999,0.8916,0.7153,0.5874,0.4602,0.3464,0.1826,0.10895,0.07806
4105,1.001,0.871,0.6724,0.5083,0.2698,0.1732,0.1199,0.1121,0.1202
4106,0.9995,0.8623,0.64,0.446,0.2656,0.1954,0.1482,0.1107,0.07794
4107,1.0,0.7666,0.557,0.299,0.258,0.2123,0.1642,0.1433,0.11346
4108,1.0,0.8833,0.6436,0.3848,0.1407,0.11084,0.101,0.1088,0.0939
4109,0.9995,0.877,0.675,0.5215,0.3948,0.2827,0.1749,0.1261,0.0918
4110,1.0,0.8633,0.645,0.4026,0.2461,0.1492,0.1399,0.0794,0.0835
4111,1.0,0.827,0.5913,0.4136,0.3186,0.219,0.1906,0.1164,0.0664
4112,1.0,0.893,0.7334,0.429,0.2063,0.1534,0.08575,0.0705,0.0616
4113,0.999,0.903,0.7593,0.539,0.2979,0.2463,0.2123,0.1666,0.1373
4114,1.0,0.848,0.6265,0.3706,0.2695,0.1781,0.12213,0.1007,0.07776
4115,1.0,0.847,0.6216,0.4507,0.289,0.2087,0.1592,0.1241,0.0632
4116,1.0,0.899,0.648,0.4788,0.3608,0.232,0.11487,0.1162,0.09686
4117,1.0,0.8447,0.599,0.483,0.3691,0.1812,0.1816,0.1572,0.131
4118,0.9995,0.863,0.664,0.5093,0.4185,0.314,0.2441,0.1733,0.1227
4119,1.001,0.8765,0.651,0.474,0.3545,0.1534,0.07294,0.05084,0.0538
4120,1.001,0.815,0.581,0.3413,0.2137,0.1193,0.0905,0.07697,0.0543
4121,1.001,0.8345,0.565,0.383,0.1973,0.11224,0.09393,0.07184,0.05478
4122,1.0,0.7803,0.5586,0.372,0.2676,0.1466,0.1167,0.0821,0.05902
4123,0.9995,0.8726,0.687,0.4246,0.3333,0.1957,0.1032,0.07135,0.03525
4124,1.001,0.8794,0.668,0.3164,0.1709,0.1343,0.11707,0.10596,0.04703
4125,1.0,0.84,0.6206,0.435,0.2515,0.1719,0.132,0.1034,0.0851
4126,1.0,0.898,0.758,0.6016,0.445,0.3276,0.2394,0.1315,0.11115
4127,1.0,0.828,0.5615,0.3005,0.199,0.10535,0.1112,0.1039,0.06033
4128,1.001,0.8447,0.6445,0.478,0.2534,0.1525,0.1415,0.1263,0.1169
4129,1.0,0.8945,0.7007,0.5073,0.358,0.2595,0.1937,0.1622,0.097
4130,0.9995,0.832,0.5312,0.395,0.3003,0.205,0.1753,0.1261,0.07825
4131,1.0,0.8896,0.717,0.559,0.4072,0.2737,0.2104,0.1725,0.0515
4132,1.0,0.88,0.733,0.603,0.4812,0.3645,0.1631,0.0876,0.08527
4133,0.9995,0.8843,0.632,0.504,0.3516,0.193,0.1698,0.1503,0.1405
4134,1.0,0.736,0.5103,0.2688,0.2256,0.1614,0.08685,0.05798,0.01828
4135,0.999,0.851,0.5938,0.341,0.2224,0.1605,0.1176,0.09827,0.04514
4136,1.0,0.871,0.6787,0.4653,0.3237,0.2086,0.1646,0.1495,0.1014
4137,1.0,0.8486,0.6587,0.4917,0.3645,0.2122,0.1481,0.03079,0.0529
4138,1.001,0.8257,0.5923,0.4065,0.2275,0.1791,0.1616,0.12225,0.04773
4139,1.001,0.8574,0.63,0.4749,0.368,0.255,0.1611,0.10297,0.0638
4140,1.0,0.7515,0.5903,0.4368,0.214,0.08435,0.00813,-0.002234,0.006645
4141,0.9995,0.795,0.6006,0.4397,0.3413,0.2725,0.1705,0.1357,0.04672
4142,0.9995,0.8525,0.6396,0.4663,0.3198,0.2598,0.1914,0.1504,0.1156
4143,1.001,0.854,0.577,0.4067,0.2878,0.2062,0.1608,0.11365,0.05847
4144,0.9995,0.837,0.65,0.4854,0.398,0.285,0.1414,0.08655,0.0644
4145,1.001,0.7915,0.5483,0.3784,0.259,0.1456,0.1162,0.0849,0.06757
4146,1.0,0.7886,0.4773,0.356,0.2423,0.2051,0.1683,0.115,0.0693
4147,0.999,0.85,0.431,0.2659,0.2283,0.1987,0.1465,0.1394,0.1268
4148,1.0,0.642,0.4082,0.3193,0.2644,0.1713,0.1534,0.1456,0.1373
4149,1.0,0.8374,0.622,0.4111,0.3264,0.2324,0.1609,0.1247,0.08124
4150,1.0,0.8613,0.623,0.361,0.2239,0.1538,0.0894,0.04132,0.0665
4151,1.001,0.886,0.6816,0.507,0.4065,0.2996,0.1736,0.12195,0.04846
4152,0.9995,0.878,0.6685,0.4915,0.3984,0.2708,0.2079,0.0962,0.06665
4153,1.001,0.878,0.653,0.5337,0.2979,0.1346,0.1255,0.10474,0.0927
4154,1.0,0.862,0.59,0.452,0.2769,0.224,0.2101,0.13,0.08185
4155,1.001,0.879,0.718,0.5654,0.448,0.3223,0.2053,0.1447,0.0945
4156,1.0,0.836,0.6084,0.3906,0.284,0.2378,0.1921,0.1041,0.09454
4157,1.0,0.8823,0.6787,0.4612,0.272,0.1737,0.1147,0.08856,0.0657
4158,1.0,0.865,0.616,0.4907,0.2698,0.1809,0.1521,0.10815,0.0751
4159,0.999,0.854,0.6626,0.493,0.388,0.285,0.214,0.11395,0.006737
4160,1.001,0.876,0.5967,0.4653,0.3323,0.274,0.2031,0.1152,0.0733
4161,1.0,0.8843,0.7046,0.5273,0.3567,0.2795,0.1737,0.1327,0.1111
4162,0.9995,0.8745,0.6567,0.4949,0.3257,0.2394,0.1273,0.11566,0.0986
4163,0.9995,0.872,0.631,0.403,0.2842,0.2147,0.1783,0.15,0.0649
4164,1.0,0.859,0.677,0.515,0.4348,0.362,0.2874,0.232,0.1554
4165,1.0,0.8735,0.6426,0.4473,0.3342,0.2461,0.2206,0.1735,0.0951
4166,1.001,0.867,0.659,0.4966,0.37,0.2783,0.1896,0.1,0.04788
4167,1.0,0.7983,0.6104,0.4028,0.2776,0.2131,0.171,0.06635,0.03162
4168,1.0,0.842,0.693,0.4941,0.1942,0.1566,0.1366,0.11237,0.09924
4169,1.0,0.892,0.6987,0.5435,0.3467,0.2384,0.1672,0.1348,0.0672
4170,1.001,0.873,0.669,0.516,0.388,0.2295,0.1277,0.101,0.109
4171,0.999,0.834,0.5986,0.3984,0.3103,0.2367,0.1731,0.1433,0.04678
4172,1.0,0.854,0.3506,0.3093,0.2693,0.2094,0.1724,0.1411,0.10767
4173,1.0,0.6494,0.504,0.4329,0.3706,0.3193,0.2844,0.2368,0.1486
4174,1.001,0.85,0.6177,0.4111,0.273,0.216,0.1885,0.1714,0.1549
4175,1.0,0.886,0.6934,0.5415,0.4412,0.307,0.2164,0.1691,0.1361
4176,1.001,0.7827,0.5225,0.2795,0.1968,0.09045,0.066,0.0536,0.0493
4177,0.999,0.8965,0.5854,0.3792,0.2964,0.2347,0.2257,0.1858,0.1671
4178,1.0,0.879,0.682,0.4949,0.3281,0.2155,0.1631,0.1252,0.029
4179,0.9995,0.834,0.593,0.3804,0.2031,0.141,0.0806,0.0762,0.02208
4180,0.999,0.8887,0.689,0.4395,0.3616,0.2527,0.158,0.1417,0.1306
4181,0.9995,0.8794,0.703,0.507,0.364,0.2783,0.1458,0.0917,0.0876
4182,1.0,0.8564,0.682,0.5044,0.3264,0.2245,0.1631,0.1377,0.1317
4183,0.9995,0.8496,0.59,0.4211,0.262,0.1259,0.104,0.09863,0.07965
4184,1.001,0.8643,0.63,0.523,0.4514,0.3555,0.2842,0.2291,0.1638
4185,1.0,0.831,0.6416,0.4329,0.2358,0.1525,0.1085,0.0564,0.03696
4186,1.0,0.8955,0.6396,0.5083,0.2825,0.3528,0.2673,0.2103,0.0838
4187,1.001,0.913,0.778,0.6465,0.508,0.3687,0.2898,0.1401,0.05
4188,0.999,0.8916,0.726,0.508,0.2744,0.2178,0.1387,0.1043,0.1019
4189,1.0,0.822,0.502,0.3545,0.2578,0.2188,0.2067,0.1573,0.1307
4190,0.9995,0.867,0.681,0.5396,0.3398,0.279,0.1833,0.1372,0.11847
4191,1.001,0.8794,0.6934,0.5254,0.3447,0.2095,0.1206,0.1189,0.0866
4192,1.0,0.8574,0.7056,0.5664,0.4458,0.3323,0.1809,0.08356,0.01552
4193,1.001,0.8345,0.6313,0.4585,0.1919,0.1486,0.0953,0.0804,0.07007
4194,1.0,0.9043,0.7173,0.549,0.4268,0.3184,0.1614,0.06683,0.06964
4195,0.999,0.827,0.6104,0.506,0.437,0.3794,0.2311,0.1312,0.0989
4196,1.001,0.854,0.607,0.4397,0.3298,0.2688,0.2352,0.1921,0.1283
4197,1.0,0.789,0.4421,0.346,0.2683,0.1394,0.0937,0.08215,0.06934
4198,1.001,0.777,0.537,0.3572,0.282,0.2291,0.11383,0.0787,0.03946
4199,1.001,0.8374,0.617,0.4597,0.3357,0.1456,0.1064,0.07654,0.05768
4200,1.001,0.8887,0.716,0.5464,0.3425,0.2272,0.1627,0.1267,0.0938
4201,1.0,0.868,0.642,0.4636,0.324,0.2332,0.1102,0.0856,0.08276
4202,0.9995,0.838,0.591,0.3845,0.254,0.2042,0.11163,0.1019,0.06726
4203,1.001,0.837,0.6416,0.476,0.276,0.1637,0.1582,0.1112,0.04456
4204,1.001,0.8545,0.63,0.4395,0.3083,0.223,0.11865,0.0708,0.0834
4205,0.9995,0.844,0.509,0.2433,0.166,0.1447,0.11865,0.08777,0.07544
4206,0.9995,0.708,0.4875,0.319,0.253,0.165,0.1915,0.1082,0.09326
4207,0.999,0.8765,0.634,0.4014,0.3179,0.198,0.1671,0.1256,0.09503
4208,0.9995,0.849,0.5137,0.3904,0.3376,0.2854,0.1958,0.11743,0.07513
4209,1.001,0.891,0.753,0.6113,0.4675,0.322,0.1841,0.15,0.11475
4210,1.001,0.871,0.6543,0.4553,0.2832,0.1105,0.0836,0.0655,0.06287
4211,1.0,0.8745,0.647,0.4883,0.3914,0.3096,0.2058,0.0497,0.052
4212,1.001,0.8877,0.735,0.571,0.2812,0.1412,0.1109,0.078,0.0552
4213,0.9995,0.8047,0.4722,0.3308,0.2404,0.1598,0.10834,0.06934,0.0491
4214,0.999,0.8657,0.6113,0.3901,0.1901,0.1091,0.0644,0.03284,0.03305
4215,1.0,0.8613,0.631,0.398,0.2211,0.1544,0.1316,0.12085,0.0541
4216,1.0,0.8306,0.6543,0.5356,0.4165,0.2947,0.1227,0.1119,0.10815
4217,1.0,0.8496,0.61,0.4224,0.2898,0.2133,0.1769,0.1637,0.1181
