pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.7295,0.4905,0.3489,0.2585,0.2245,0.2323,0.2217,0.1914
4001,1.0,0.8174,0.5967,0.484,0.383,0.3333,0.2893,0.222,0.1693
4002,1.001,0.8115,0.494,0.4016,0.3564,0.3257,0.3018,0.2722,0.2357
4003,1.0,0.759,0.4417,0.3894,0.3025,0.2417,0.2537,0.1805,0.1186
4004,1.0,0.812,0.5576,0.4382,0.3477,0.2837,0.2593,0.2344,0.1807
4005,1.0,0.868,0.657,0.4622,0.3955,0.3494,0.2827,0.2239,0.1322
4006,0.999,0.837,0.5728,0.3936,0.3528,0.315,0.2135,0.161,0.1114
4007,1.0,0.811,0.565,0.449,0.3625,0.3245,0.29,0.2466,0.1903
4008,0.999,0.8413,0.4841,0.4116,0.3694,0.3347,0.2996,0.2678,0.2052
4009,0.999,0.889,0.467,0.3127,0.2786,0.2773,0.273,0.2617,0.2416
4010,1.001,0.8525,0.6797,0.4602,0.4116,0.3625,0.3071,0.2269,0.1439
4011,1.001,0.8477,0.595,0.373,0.2483,0.1958,0.185,0.1473,0.1366
4012,0.9995,0.8013,0.548,0.409,0.303,0.269,0.2483,0.215,0.1656
4013,1.0,0.8706,0.3708,0.3406,0.2712,0.2206,0.2052,0.2029,0.03708
4014,0.999,0.6704,0.3955,0.301,0.2651,0.2517,0.2544,0.2473,0.2244
4015,0.999,0.755,0.4429,0.2886,0.2576,0.2015,0.1865,0.1808,0.1783
4016,1.001,0.78,0.575,0.3691,0.343,0.3113,0.2837,0.2522,0.1888
4017,1.001,0.866,0.752,0.5835,0.4917,0.321,0.2827,0.247,0.1522
4018,1.001,0.7754,0.6143,0.4927,0.4204,0.3464,0.258,0.2174,0.1791
4019,1.0,0.8286,0.4844,0.3862,0.3357,0.3108,0.2712,0.2445,0.1514
4020,1.001,0.899,0.7104,0.542,0.3481,0.2705,0.2422,0.2233,0.1641
4021,1.0,0.8213,0.583,0.4177,0.265,0.2216,0.2076,0.2035,0.1925
4022,1.0,0.842,0.5186,0.3516,0.307,0.291,0.2725,0.2349,0.1747
4023,1.0,0.815,0.526,0.3574,0.2654,0.14,0.09424,0.0713,0.0787
4024,1.001,0.8726,0.5625,0.3257,0.3096,0.2712,0.2303,0.1792,0.1586
4025,0.9995,0.775,0.5503,0.4534,0.4128,0.36,0.304,0.2512,0.1932
4026,0.9995,0.7524,0.5947,0.4883,0.418,0.341,0.2686,0.2335,0.1539
4027,0.9995,0.7407,0.4026,0.3203,0.2798,0.2363,0.2076,0.1887,0.1685
4028,1.001,0.795,0.557,0.4204,0.3684,0.3516,0.3384,0.321,0.2969
4029,1.001,0.8896,0.5386,0.3938,0.2722,0.219,0.0951,0.07025,0.02065
4030,1.001,0.8496,0.631,0.507,0.3955,0.3232,0.286,0.2128,0.1758
4031,1.001,0.852,0.6313,0.4124,0.303,0.1935,0.1503,0.11896,0.09644
4032,1.001,0.854,0.621,0.4802,0.4297,0.387,0.344,0.255,0.1199
4033,1.001,0.771,0.582,0.416,0.3633,0.3342,0.2942,0.2275,0.1217
4034,1.0,0.724,0.493,0.254,0.2141,0.2109,0.2125,0.2095,0.1906
4035,0.9995,0.7344,0.478,0.3835,0.3484,0.268,0.1995,0.1626,0.1471
4036,1.001,0.7896,0.589,0.462,0.3818,0.338,0.3005,0.2256,0.1718
4037,1.001,0.7603,0.4832,0.3345,0.28,0.2314,0.192,0.1543,0.1157
4038,0.9995,0.776,0.5474,0.3848,0.28,0.2373,0.2778,0.2491,0.08716
4039,1.0,0.5703,0.4033,0.364,0.294,0.2432,0.204,0.1597,0.139
4040,0.999,0.766,0.6206,0.514,0.4573,0.4048,0.3289,0.155,0.1047
4041,1.0,0.8335,0.64,0.533,0.438,0.3796,0.3303,0.2966,0.2355
4042,0.9995,0.8125,0.5864,0.4807,0.4194,0.3884,0.3494,0.321,0.2876
4043,1.001,0.9014,0.748,0.605,0.44,0.33,0.259,0.1959,0.1516
4044,0.999,0.877,0.595,0.4353,0.37,0.344,0.3115,0.2014,0.1661
4045,1.0,0.7607,0.419,0.3164,0.2434,0.2405,0.236,0.2294,0.2198
4046,0.9995,0.7925,0.6816,0.6084,0.535,0.4658,0.363,0.347,0.2937
4047,1.0,0.7666,0.6284,0.5405,0.457,0.383,0.316,0.2666,0.211
4048,1.0,0.699,0.4128,0.3442,0.295,0.2627,0.2333,0.1627,0.1484
4049,0.9995,0.713,0.593,0.5186,0.4585,0.4219,0.385,0.2734,0.2062
4050,1.001,0.8667,0.6934,0.555,0.2869,0.1971,0.1752,0.10956,0.0888
4051,1.0,0.706,0.4717,0.3455,0.2532,0.2195,0.2098,0.2043,0.1812
4052,1.0,0.761,0.4756,0.315,0.273,0.2566,0.2505,0.2133,0.1743
4053,0.9995,0.874,0.6875,0.5444,0.3564,0.3066,0.2683,0.2559,0.222
4054,0.9995,0.669,0.517,0.3804,0.287,0.2405,0.1984,0.1454,0.1268
4055,1.001,0.8057,0.5713,0.3704,0.2231,0.1295,0.0992,0.0813,0.0708
4056,1.0,0.88,0.6226,0.4062,0.3357,0.3022,0.2406,0.1891,0.0878
4057,1.0,0.848,0.6616,0.512,0.363,0.2434,0.1962,0.1593,0.1143
4058,1.0,0.7275,0.5137,0.4048,0.3174,0.2905,0.267,0.2444,0.1537
4059,1.0,0.7964,0.4563,0.3574,0.27,0.2273,0.1603,0.0553,0.05167
4060,1.0,0.8228,0.567,0.437,0.3938,0.3672,0.339,0.3127,0.253
4061,0.999,0.854,0.6875,0.559,0.4155,0.325,0.3003,0.2146,0.1652
4062,1.0,0.839,0.4407,0.3655,0.2803,0.225,0.1782,0.1594,0.1166
4063,1.001,0.8677,0.623,0.3882,0.3198,0.2362,0.2075,0.1952,0.1719
4064,0.9995,0.7954,0.713,0.4612,0.4094,0.3767,0.3416,0.2998,0.2429
4065,1.0,0.8496,0.6,0.446,0.3384,0.2198,0.098,0.09076,0.03836
4066,1.001,0.5645,0.382,0.3103,0.3008,0.2617,0.2245,0.1923,0.1656
4067,1.0,0.8613,0.6816,0.5103,0.378,0.3237,0.2925,0.261,0.2106
4068,1.001,0.7573,0.5303,0.511,0.4558,0.382,0.305,0.2119,0.1561
4069,1.0,0.8633,0.705,0.5107,0.3704,0.326,0.2725,0.2092,0.191
4070,1.0,0.6514,0.4988,0.3672,0.3242,0.2505,0.2362,0.169,0.0811
4071,1.0,0.7915,0.6265,0.501,0.4277,0.3818,0.3494,0.2253,0.1478
4072,1.0,0.78,0.55,0.3506,0.1996,0.1835,0.1586,0.11835,0.1102
4073,1.0,0.876,0.651,0.498,0.3872,0.3196,0.2708,0.2065,0.1556
4074,1.0,0.827,0.5864,0.4204,0.296,0.243,0.2203,0.1991,0.0928
4075,0.999,0.8306,0.4253,0.254,0.2054,0.2058,0.1954,0.1909,0.1829
4076,1.0,0.641,0.455,0.391,0.388,0.2822,0.247,0.2292,0.1638
4077,1.0,0.875,0.6777,0.6016,0.4614,0.3333,0.1141,0.03326,0.014244
4078,1.0,0.839,0.4048,0.3235,0.2544,0.2246,0.1881,0.1398,0.09814
4079,0.999,0.849,0.666,0.558,0.466,0.3945,0.3223,0.264,0.2493
4080,0.999,0.699,0.4387,0.28,0.2294,0.196,0.1614,0.1492,0.07404
4081,1.0,0.8306,0.635,0.504,0.438,0.3782,0.3352,0.268,0.222
