pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.8604,0.7036,0.434,0.3772,0.3325,0.3164,0.3042,0.2632
4001,1.0,0.788,0.425,0.338,0.2832,0.2498,0.2197,0.204,0.1962
4002,0.999,0.8726,0.5537,0.3098,0.2216,0.2092,0.206,0.1963,0.1725
4003,1.0,0.7275,0.4187,0.3364,0.2832,0.2207,0.1993,0.1833,0.1766
4004,1.0,0.688,0.5015,0.4512,0.3506,0.2712,0.197,0.1191,0.1296
4005,1.001,0.6333,0.3726,0.335,0.3164,0.2998,0.2722,0.2507,0.2175
4006,1.0,0.605,0.4,0.3057,0.2468,0.2046,0.2004,0.1747,0.1605
4007,1.0,0.7534,0.3467,0.243,0.1836,0.169,0.1586,0.1558,0.1378
4008,1.0,0.7905,0.411,0.298,0.2361,0.2173,0.2042,0.1833,0.163
4009,1.0,0.812,0.3647,0.2317,0.2024,0.1932,0.1862,0.1729,0.1532
4010,1.0,0.7314,0.634,0.104,0.0868,0.0943,0.0972,0.08527,0.048
4011,1.001,0.87,0.7207,0.5947,0.4976,0.4246,0.3472,0.2473,0.1422
4012,1.0,0.762,0.4104,0.3396,0.2303,0.2139,0.2063,0.1843,0.1794
4013,1.001,0.5806,0.3152,0.2434,0.1957,0.1812,0.181,0.1771,0.1586
4014,1.001,0.4353,0.319,0.3015,0.2289,0.2295,0.2222,0.2117,0.2036
4015,1.0,0.798,0.5283,0.3767,0.3105,0.2605,0.1608,0.1448,0.1471
4016,1.0,0.8325,0.564,0.4204,0.3801,0.3582,0.3328,0.3079,0.2732
4017,0.9995,0.8994,0.782,0.6978,0.6284,0.5376,0.422,0.313,0.1826
4018,0.999,0.7505,0.426,0.255,0.199,0.1765,0.1656,0.11816,0.10077
4019,1.0,0.814,0.4724,0.3235,0.2751,0.253,0.2408,0.2288,0.11957
4020,1.0,0.848,0.545,0.318,0.2299,0.1832,0.1527,0.1365,0.1103
4021,1.0,0.8228,0.5645,0.363,0.307,0.2888,0.2825,0.2686,0.2457
4022,1.0,0.6943,0.5176,0.3772,0.2827,0.2328,0.2067,0.1982,0.1825
4023,1.001,0.813,0.5083,0.3481,0.252,0.163,0.1257,0.1044,0.0791
4024,1.0,0.839,0.6704,0.468,0.3545,0.2898,0.1785,0.1355,0.11115
4025,1.001,0.8545,0.595,0.3638,0.3254,0.2646,0.193,0.1417,0.1315
4026,1.0,0.831,0.3765,0.2473,0.2139,0.1915,0.1564,0.137,0.1251
4027,1.001,0.786,0.3894,0.23,0.2231,0.2301,0.2369,0.2288,0.2072
4028,1.001,0.8916,0.7114,0.5894,0.58,0.5454,0.5273,0.4807,0.4019
4029,1.0,0.8374,0.4595,0.3105,0.2456,0.2344,0.1885,0.1631,0.1254
4030,0.9995,0.822,0.507,0.2856,0.2454,0.2487,0.2155,0.2047,0.1895
