pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.785,0.6177,0.5137,0.5156,0.4744,0.4226,0.383,0.2861
4001,1.001,0.8726,0.731,0.5845,0.505,0.4414,0.3806,0.2957,0.1885
4002,0.999,0.899,0.8086,0.718,0.6533,0.5835,0.4944,0.3848,0.269
4003,1.001,0.849,0.6543,0.5312,0.4326,0.3457,0.184,0.11,0.08026
4004,1.0,0.9,0.734,0.514,0.3352,0.2313,0.1533,0.0948,0.0909
4005,1.0,0.791,0.651,0.6074,0.5605,0.505,0.414,0.3062,-0.03598
4006,0.999,0.8857,0.804,0.7134,0.6157,0.533,0.4617,0.384,0.1814
4007,1.0,0.8804,0.6494,0.528,0.4834,0.432,0.3633,0.276,0.1823
4008,1.0,0.871,0.6606,0.4946,0.4036,0.3335,0.2896,0.2625,0.1079
4009,1.001,0.777,0.555,0.4797,0.385,0.3486,0.3435,0.3394,0.329
4010,1.001,0.8223,0.4443,0.4067,0.4058,0.393,0.3538,0.2673,0.1409
4011,1.0,0.8916,0.7217,0.562,0.3726,0.2484,0.1632,0.10187,0.0743
4012,0.9995,0.82,0.6616,0.559,0.44,0.36,0.315,0.2673,0.1808
4013,1.0,0.8745,0.7524,0.648,0.5737,0.5015,0.466,0.4507,0.3706
4014,1.0,0.901,0.7173,0.6216,0.5522,0.4949,0.4546,0.4194,0.3777
4015,1.0,0.7666,0.614,0.3186,0.2927,0.2502,0.2284,0.191,0.1312
4016,1.001,0.902,0.7,0.5454,0.4297,0.3604,0.307,0.2236,0.1677
4017,1.0,0.8667,0.651,0.522,0.3835,0.3289,0.2769,0.2351,0.182
4018,1.0,0.823,0.6274,0.5454,0.4678,0.4065,0.3513,0.1708,0.1383
4019,1.0,0.855,0.651,0.5967,0.54,0.4802,0.392,0.3203,0.102
4020,1.0,0.863,0.692,0.5566,0.4385,0.3743,0.3394,0.3235,0.2407
4021,1.0,0.837,0.7754,0.668,0.6084,0.5576,0.4946,0.4358,0.2585
