pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
4000,1.0,0.869,0.6367,0.5327,0.4172,0.3572,0.281,0.1904,0.1426
4001,0.9995,0.859,0.686,0.4282,0.2913,0.1982,0.1632,0.1434,0.1337
4002,1.0,0.8315,0.3857,0.282,0.187,0.1069,0.0553,0.0935,0.0451
4003,1.001,0.794,0.4277,0.3499,0.3135,0.12317,0.0512,0.05722,0.05783
4004,1.0,0.8037,0.5605,0.3923,0.2898,0.12213,0.1046,0.08405,0.09143
4005,1.0,0.896,0.706,0.5654,0.455,0.2394,0.1582,0.1248,0.0751
4006,1.0,0.873,0.7593,0.3132,0.197,0.1478,0.0721,0.0812,0.04935
4007,0.999,0.8447,0.601,0.3337,0.286,0.241,0.1766,0.122,0.068
4008,1.0,0.869,0.6646,0.2179,0.1526,0.1107,0.0894,0.07294,0.0574
4009,0.999,0.9043,0.7725,0.6284,0.4795,0.2119,0.1932,0.1863,0.1503
4010,0.999,0.8154,0.55,0.461,0.278,0.2245,0.1384,0.13,0.0713
4011,1.0,0.8735,0.6543,0.6064,0.568,0.417,0.2465,0.2094,0.1559
4012,0.999,0.8647,0.5923,0.5054,0.4473,0.3718,0.305,0.1879,0.09534
4013,0.9995,0.8984,0.749,0.607,0.4155,0.3147,0.2556,0.2362,0.1848
4014,1.0,0.8877,0.706,0.58,0.4885,0.3872,0.3333,0.237,0.09265
4015,1.0,0.8228,0.562,0.3418,0.1783,0.1334,0.1285,0.13,0.1384
4016,1.0,0.898,0.676,0.4104,0.302,0.259,0.2416,0.2314,0.2263
4017,1.0,0.8486,0.6294,0.4634,0.2854,0.1907,0.1832,0.136,0.1156
4018,0.999,0.784,0.6284,0.5146,0.4045,0.1383,0.1167,0.0641,0.0414
4019,1.0,0.5757,0.5312,0.4739,0.4072,0.2323,0.1495,0.1409,0.0839
4020,0.999,0.859,0.6694,0.4988,0.3613,0.2517,0.181,0.08344,0.0619
4021,1.001,0.8936,0.604,0.4548,0.376,0.3018,0.264,0.2377,0.1262
