pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
1500,1.0,0.8057,0.699,0.4292,0.3098,0.2175,0.1885,0.128,0.0578
1501,1.0,0.882,0.5664,0.3816,0.2686,0.1798,0.1228,0.08777,0.07886
1502,1.0,0.9077,0.7637,0.6416,0.5176,0.3667,0.2788,0.253,0.1815
1503,1.0,0.894,0.7554,0.3699,0.2983,0.2622,0.1995,0.1649,0.0965
1504,1.0,0.8726,0.597,0.4312,0.3289,0.2214,0.1512,0.08276,0.0644
1505,1.001,0.9067,0.7593,0.536,0.3867,0.2908,0.2354,0.1454,0.0804
1506,1.0,0.9165,0.6987,0.5586,0.412,0.2324,0.1273,0.0876,0.0678
1507,1.0,0.9053,0.7295,0.5273,0.3457,0.2622,0.1769,0.1453,0.10693
1508,0.9995,0.9165,0.6514,0.579,0.4087,0.2043,0.1381,0.08966,0.0656
1509,1.0,0.8984,0.7046,0.451,0.357,0.2832,0.1356,0.094,0.07886
1510,1.0,0.8887,0.7227,0.5786,0.4495,0.2932,0.2349,0.1702,0.1021
1511,0.9995,0.9053,0.757,0.59,0.394,0.2008,0.1543,0.11005,0.0852
1512,0.999,0.903,0.6846,0.5005,0.3652,0.2524,0.1923,0.1356,0.0708
1513,0.9995,0.9136,0.7725,0.5874,0.3708,0.2585,0.1647,0.1056,0.07404
1514,1.0,0.9,0.598,0.5005,0.4177,0.3044,0.1969,0.1935,0.11414
1515,1.0,0.914,0.7744,0.618,0.431,0.3564,0.2434,0.1633,0.06757
1516,1.0,0.89,0.568,0.4973,0.4219,0.3596,0.3042,0.1322,0.07477
1517,1.001,0.9116,0.752,0.5693,0.4048,0.3083,0.2385,0.1732,0.1057
1518,1.001,0.9004,0.696,0.5503,0.387,0.3135,0.1775,0.1464,0.06476
1519,1.0,0.891,0.6694,0.53,0.406,0.2883,0.2235,0.1024,0.05072
1520,1.001,0.9014,0.69,0.546,0.417,0.3,0.2202,0.1416,0.09283
1521,1.0,0.8687,0.7285,0.5415,0.4226,0.3047,0.1956,0.1299,0.07806
1522,1.0,0.923,0.801,0.675,0.568,0.3884,0.2036,0.12054,0.0955
1523,0.9995,0.908,0.735,0.4722,0.3413,0.2433,0.1724,0.09845,0.0717
1524,1.0,0.9077,0.7793,0.6396,0.4734,0.2573,0.2032,0.1617,0.0649
1525,1.0,0.9087,0.7705,0.6436,0.54,0.408,0.2146,0.0947,0.09595
1526,1.001,0.9033,0.731,0.551,0.37,0.2837,0.2124,0.1475,0.1139
1527,1.001,0.882,0.4648,0.3613,0.2964,0.2374,0.1836,0.10675,0.07715
1528,1.0,0.9146,0.7456,0.617,0.4722,0.2666,0.214,0.1616,0.1382
1529,1.0,0.906,0.754,0.6064,0.456,0.309,0.1938,0.1231,0.0776
1530,1.0,0.912,0.6396,0.4016,0.3357,0.2852,0.2446,0.1593,0.1012
1531,1.0,0.9004,0.768,0.618,0.4473,0.3054,0.1626,0.1527,0.1409
1532,1.0,0.9165,0.7856,0.6343,0.491,0.3853,0.1729,0.1285,0.05936
1533,1.0,0.9116,0.7695,0.6216,0.4546,0.2656,0.2118,0.0695,0.0322
1534,1.0,0.877,0.6914,0.5107,0.3281,0.22,0.1768,0.164,0.0643
1535,1.0,0.909,0.756,0.552,0.346,0.2444,0.1993,0.124,0.08606
1536,1.0,0.892,0.635,0.534,0.4321,0.304,0.194,0.11475,0.0696
1537,1.0,0.9067,0.738,0.5625,0.458,0.3318,0.1903,0.11017,0.0696
1538,1.001,0.9194,0.7793,0.587,0.432,0.278,0.1937,0.1138,0.0678
1539,1.0,0.9194,0.7666,0.554,0.4133,0.2637,0.1945,0.1605,0.0938
1540,1.0,0.8813,0.722,0.4548,0.228,0.2339,0.1609,0.1044,0.0739
1541,1.001,0.891,0.6885,0.4692,0.2942,0.2478,0.1384,0.0896,0.05774
1542,1.0,0.8853,0.6436,0.5054,0.3552,0.1953,0.1459,0.12354,0.0997
1543,1.0,0.8403,0.4592,0.4084,0.3582,0.2825,0.2358,0.177,0.10266
1544,1.0,0.893,0.6133,0.5054,0.447,0.3179,0.192,0.092,0.04184
1545,1.0,0.851,0.6475,0.3838,0.2673,0.2288,0.1466,0.1221,0.1036
1546,0.9995,0.914,0.755,0.625,0.4932,0.3218,0.2289,0.171,0.1354
1547,0.999,0.921,0.8003,0.6826,0.5605,0.2932,0.3325,0.1385,0.05313
1548,1.0,0.908,0.761,0.506,0.4692,0.312,0.246,0.12256,0.0701
1549,1.001,0.906,0.736,0.5615,0.3914,0.3025,0.2197,0.1447,0.0873
1550,0.9995,0.866,0.741,0.6245,0.463,0.3167,0.2607,0.1592,0.0821
1551,1.0,0.917,0.7524,0.5386,0.3203,0.214,0.1167,0.09735,0.11743
1552,0.999,0.912,0.7783,0.6333,0.4446,0.3513,0.2382,0.1519,0.0679
1553,1.001,0.906,0.7017,0.5176,0.4045,0.3042,0.212,0.1583,0.0834
1554,1.0,0.8623,0.6714,0.5254,0.359,0.2487,0.1855,0.1389,0.11304
1555,1.001,0.9106,0.7764,0.592,0.4785,0.376,0.323,0.2277,0.1183
1556,1.0,0.912,0.7627,0.526,0.385,0.266,0.2002,0.1506,0.10956
1557,1.0,0.91,0.785,0.6577,0.438,0.323,0.2289,0.1337,0.0563
1558,1.0,0.92,0.7812,0.608,0.4644,0.356,0.2703,0.2261,0.125
1559,1.0,0.8335,0.659,0.4504,0.3528,0.293,0.2238,0.1681,0.1148
1560,1.0,0.6665,0.6167,0.606,0.4448,0.3362,0.2384,0.1626,0.1401
