pid,Step 45,Step 40,Step 35,Step 30,Step 25,Step 20,Step 15,Step 10,Step 5
1500,1.001,0.8677,0.531,0.4583,0.3274,0.2153,0.186,0.1437,0.0782
1501,1.0,0.9004,0.6816,0.4087,0.2603,0.163,0.1075,0.07294,0.05936
1502,1.0,0.8984,0.7197,0.579,0.4712,0.353,0.286,0.2207,0.2083
1503,1.0,0.877,0.685,0.3206,0.2396,0.1973,0.1636,0.1276,0.1073
1504,1.0,0.752,0.6035,0.4814,0.3286,0.2252,0.1584,0.1237,0.0848
1505,1.0,0.895,0.7324,0.526,0.3906,0.2695,0.1818,0.1503,0.12134
1506,1.0,0.8857,0.6694,0.52,0.4055,0.269,0.1799,0.1221,0.07697
1507,1.0,0.9,0.704,0.513,0.3655,0.2563,0.1912,0.1509,0.1192
1508,1.001,0.877,0.639,0.4822,0.298,0.1746,0.1125,0.09564,0.07715
1509,0.9995,0.9004,0.687,0.4841,0.3115,0.223,0.1351,0.11084,0.07043
1510,1.0,0.8535,0.6855,0.551,0.4102,0.1857,0.1327,0.1064,0.1029
1511,1.0,0.874,0.7134,0.5117,0.2734,0.1688,0.1394,0.1243,0.1222
1512,0.9995,0.909,0.723,0.543,0.3523,0.2146,0.1146,0.09625,0.09216
1513,0.9995,0.903,0.76,0.4963,0.2869,0.2369,0.1974,0.1495,0.1072
1514,0.999,0.9067,0.7407,0.523,0.441,0.3745,0.298,0.2362,0.1671
1515,1.0,0.9067,0.77,0.612,0.4226,0.285,0.2028,0.1001,0.0629
1516,0.9995,0.8936,0.6763,0.4678,0.4055,0.3066,0.2252,0.1628,0.1036
1517,1.0,0.916,0.725,0.5225,0.3816,0.2761,0.2087,0.1488,0.1296
1518,1.001,0.867,0.5674,0.4204,0.269,0.2456,0.2051,0.1565,0.0859
1519,0.9995,0.8853,0.621,0.4849,0.355,0.2249,0.1697,0.1389,0.1306
1520,1.0,0.8696,0.701,0.539,0.33,0.258,0.2222,0.1847,0.1306
1521,1.0,0.779,0.591,0.4775,0.3857,0.2408,0.163,0.1532,0.1168
1522,1.0,0.9004,0.6567,0.4937,0.36,0.2495,0.1713,0.1559,0.09357
1523,1.0,0.895,0.6626,0.3867,0.276,0.2047,0.1263,0.08856,0.04263
1524,1.0,0.906,0.783,0.656,0.502,0.2617,0.188,0.1454,0.1156
